"Element","h_index","g_index","m_index","TC","NP","PY_start"
"HAMMOUDEH S","6","6","0.667","110","6","2015"
"JAGER KJ","5","5","0.417","84","5","2012"
"PILJAK V","5","6","0.455","171","6","2013"
"MENSI W","4","4","0.571","53","4","2017"
"TIWARI AK","4","4","0.500","85","4","2016"
"ZAMAN K","4","5","0.364","102","5","2013"
"ABBAS G","3","3","0.500","38","3","2018"
"AL-YAHYAEE KH","3","3","0.600","25","3","2019"
"APERGIS N","3","5","0.143","40","5","2003"
"CASKEY FJ","3","3","0.250","70","3","2012"